ngram	type2score_1	type2score_2	type2freq_1	type2freq_2	type2p_diff	type2s_diff	type2p_avg	type2s_ref_diff	type2shift_score
cursed	7.340000e-01	7.340000e-01	4.374006e-02	0.000000e+00	-2.616507e-06	0.000000e+00	1.308253e-06	2.340000e-01	-4.725868e-06
cyanide	7.970000e-01	7.970000e-01	1.021548e+00	5.000000e-01	9.024836e-06	0.000000e+00	6.562087e-05	2.970000e-01	2.068901e-05
damnation	8.120000e-01	8.120000e-01	7.082202e-02	0.000000e+00	-4.236535e-06	0.000000e+00	2.118267e-06	3.120000e-01	-1.020256e-05
danger	8.020000e-01	8.020000e-01	3.596287e+01	1.819203e+01	4.004546e-04	0.000000e+00	2.351507e-03	3.020000e-01	9.334779e-04
dangerous	7.500000e-01	7.500000e-01	5.469905e+01	1.896177e+01	-6.123645e-04	0.000000e+00	2.965885e-03	2.500000e-01	-1.181664e-03
dangerously	7.660000e-01	7.660000e-01	4.050539e+00	4.791667e-01	-1.750900e-04	0.000000e+00	1.547561e-04	2.660000e-01	-3.594900e-04
dashed	2.970000e-01	2.970000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-2.030000e-01	0.000000e+00
dawned	1.500000e-01	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-3.500000e-01	0.000000e+00
deadlines	1.880000e-01	1.880000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-3.120000e-01	0.000000e+00
deadly	8.750000e-01	8.750000e-01	1.029421e+01	5.802128e+00	1.980505e-04	0.000000e+00	7.148194e-04	3.750000e-01	5.732593e-04
death	8.430000e-01	8.430000e-01	1.248656e+02	6.558545e+01	1.730055e-03	0.000000e+00	8.334419e-03	3.430000e-01	4.580341e-03
default	2.260000e-01	2.260000e-01	3.345077e+00	0.000000e+00	-2.001007e-04	0.000000e+00	1.000503e-04	-2.740000e-01	4.231974e-04
defend	2.500000e-01	2.500000e-01	3.722301e+01	1.233456e+01	-4.965344e-04	0.000000e+00	1.978393e-03	-2.500000e-01	9.581493e-04
defense	2.580000e-01	2.580000e-01	6.375284e+00	5.740278e+00	4.238030e-04	0.000000e+00	5.932676e-04	-2.420000e-01	-7.916319e-04
deflation	2.970000e-01	2.970000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-2.030000e-01	0.000000e+00
delay	1.410000e-01	1.410000e-01	1.017125e+01	1.053730e+00	-4.606355e-04	0.000000e+00	3.781209e-04	-3.590000e-01	1.276426e-03
deluge	2.870000e-01	2.870000e-01	4.738562e-02	0.000000e+00	-2.834582e-06	0.000000e+00	1.417291e-06	-2.130000e-01	4.660285e-06
delusional	2.500000e-01	2.500000e-01	3.173431e+00	2.265000e+00	1.278708e-04	0.000000e+00	2.537684e-04	-2.500000e-01	-2.467490e-04
demon	9.060000e-01	9.060000e-01	8.139422e+01	7.549550e+01	5.720538e-03	0.000000e+00	7.729226e-03	4.060000e-01	1.792696e-02
demonic	8.590000e-01	8.590000e-01	1.518303e+01	1.649069e+01	1.404852e-03	0.000000e+00	1.610666e-03	3.590000e-01	3.892860e-03
dependence	2.340000e-01	2.340000e-01	2.702703e-03	0.000000e+00	-1.616742e-07	0.000000e+00	8.083710e-08	-2.660000e-01	3.319451e-07
depraved	7.340000e-01	7.340000e-01	5.363258e-01	0.000000e+00	-3.208272e-05	0.000000e+00	1.604136e-05	2.340000e-01	-5.794699e-05
depreciated	2.970000e-01	2.970000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-2.030000e-01	0.000000e+00
deranged	7.030000e-01	7.030000e-01	7.408712e-01	5.476190e-01	3.249413e-05	0.000000e+00	6.056558e-05	2.030000e-01	5.091490e-05
